facebook.com,173.252.90.36
youtube.com,74.125.239.36
live.com,65.55.206.154
wikipedia.org,198.35.26.96
yahoo.com,98.138.253.109
msn.com,23.101.196.141
baidu.com,180.149.132.47
microsoft.com,104.43.195.251
qq.com,163.177.65.160
taobao.com,140.205.220.96
bing.com,204.79.197.200
blogspot.com,216.58.216.41
soso.com,106.120.151.169
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.230
mozilla.com,63.245.213.24
youku.com,183.61.116.211
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
sina.com.cn,202.108.33.60
